pressSN,endTime,startTime,machineState,pressState,State
70001004,2023-04-03T08:26:33.4751801-05:00,2023-04-03T08:16:03.7556925-05:00,DYNAMIC_READY,Ready,6
70001002,2023-04-03T08:25:14.4841506-04:00,2023-04-03T08:17:57.1865498-04:00,READY,Ready,5
70001002,2023-04-03T08:26:55.9931231-04:00,2023-04-03T08:25:14.4841506-04:00,PRE_PRINT,Print,7
70001004,2023-04-03T09:13:35.2915919-05:00,2023-04-03T08:26:33.4751801-05:00,READY,Ready,5
70001002,2023-04-03T08:30:27.319199-04:00,2023-04-03T08:26:55.9931231-04:00,PRINT,Print,8
70001002,2023-04-03T08:30:43.8312165-04:00,2023-04-03T08:30:27.319199-04:00,POST_PRINT,Print,7
70001002,2023-04-03T08:30:54.5164196-04:00,2023-04-03T08:30:43.8312165-04:00,DYNAMIC_READY,Ready,6
70001002,2023-04-03T08:31:38.0063168-04:00,2023-04-03T08:30:54.5164196-04:00,PRE_PRINT,Print,7
70001002,2023-04-03T08:31:59.7715616-04:00,2023-04-03T08:31:38.0063168-04:00,PRINT,Print,8
70001002,2023-04-03T08:32:16.2824645-04:00,2023-04-03T08:31:59.7715616-04:00,POST_PRINT,Print,7
70001002,2023-04-03T08:39:22.2718105-04:00,2023-04-03T08:32:16.2824645-04:00,DYNAMIC_READY,Ready,6
70001003,2023-04-03T08:38:23.1119793+02:00,2023-04-03T08:38:01.2234935+02:00,POWER_DISABLE,Off,1
70001003,2023-04-03T08:38:37.429884+02:00,2023-04-03T08:38:23.1119793+02:00,OFF,Off,1
70001003,2023-04-03T08:38:55.9446795+02:00,2023-04-03T08:38:37.429884+02:00,MECH_INIT,Off,1
70001003,2023-04-03T08:39:02.9901913+02:00,2023-04-03T08:38:55.9446795+02:00,GO_TO_OFF,Off,1
70001003,2023-04-03T08:39:37.2379962+02:00,2023-04-03T08:39:02.9901913+02:00,OFF,Off,1
70001002,2023-04-03T08:40:16.0619551-04:00,2023-04-03T08:39:22.2718105-04:00,PRE_PRINT,Print,7
70001003,2023-04-03T08:40:52.9961381+02:00,2023-04-03T08:39:37.2379962+02:00,MECH_INIT,Off,1
70001002,2023-04-03T08:40:39.6237124-04:00,2023-04-03T08:40:16.0619551-04:00,PRINT,Print,8
70001002,2023-04-03T08:40:56.7553226-04:00,2023-04-03T08:40:39.6237124-04:00,POST_PRINT,Print,7
70001003,2023-04-03T08:41:26.0734418+02:00,2023-04-03T08:40:52.9961381+02:00,STANDBY,Standby,3
70001002,2023-04-03T08:51:26.4453773-04:00,2023-04-03T08:40:56.7553226-04:00,DYNAMIC_READY,Ready,6
70001003,2023-04-03T08:41:58.4629528+02:00,2023-04-03T08:41:26.0734418+02:00,GET_READY,GetReady,4
70001003,2023-04-03T08:42:23.6527519+02:00,2023-04-03T08:41:58.4629528+02:00,GO_TO_STANDBY,Standby,3
70001003,2023-04-03T08:42:56.5112471+02:00,2023-04-03T08:42:23.6527519+02:00,STANDBY,Standby,3
70001003,2023-04-03T08:43:28.5039963+02:00,2023-04-03T08:42:56.5112471+02:00,GET_READY,GetReady,4
