"flowId","id","subSystem","time","state","name","parameters","plcVersion","pressVersion","versionTime","rn","severity","symptomid","downToState","engineFlowId","deviceId"
"bd4c749f09d77f96","32dedf8c-1e96-420c-a043-19320a02688d",,"2023-03-21T14:13:14.5624538+01:00","POST_PRINT","NoPrimaryEventFailure","{plcfailurestatechangetimestamp={""unit"":""NoUnits"",""value"":""2023-03-21T14:13:12.5541185+01:00""}, targetmanagerstatesopcenum={""unit"":""NoUnits"",""value"":""READY""}, currentmanagerstatesopcenum={""unit"":""NoUnits"",""value"":""POST_PRINT""}, failedsubsystemid={""unit"":""NoUnits"",""value"":""Manager""}}","V1.4.58.8","16000.0.799.94","2023-03-21T10:38:21.5743903+01:00","1","Error","PRC.Symptom{E{NoPrimaryEventFailure}}",,,"70001003"
"0","7c14009c-fc38-4cf2-add5-742c924df642","IMO_Reservoir","2023-03-21T14:14:19.5531264+01:00","READY","IMO_RSV_CONDUCTIVITY_PANIC_HIGH","{failureplctime={""unit"":""NoUnits"",""value"":""3/21/2023 2:14:20 PM +01:00""}, currentvalue={""unit"":""PicoMho"",""value"":""15.1""}, paniclimit={""unit"":""PicoMho"",""value"":""15""}, targetmanagerstatesopcenum={""unit"":""NoUnits"",""value"":""OFF""}, currentmanagerstatesopcenum={""unit"":""NoUnits"",""value"":""READY""}, plctime=2023-03-21T14:14:20.293+01:00, failedsubsystemid={""unit"":""NoUnits"",""value"":""IMO_Reservoir""}}","V1.4.58.8","16000.0.799.94","2023-03-21T10:38:21.5743903+01:00","1","Failure","PRC.Symptom{E{IMO_RSV_CONDUCTIVITY_PANIC_HIGH}}",,,"70001003"
"0","352664fb-c421-447e-a505-f9fd13024280","CS_Stn_6","2023-03-21T14:17:26.0395415+01:00","SERVICE","FLOW_LOW","{plctime=2023-03-21T14:17:26.746+01:00, sensor={""unit"":""NoUnits"",""value"":""CS_FLOW_SNS""}, limitvalue={""unit"":""LiterPerMinute"",""value"":""2""}, actualvalue={""unit"":""LiterPerMinute"",""value"":""0""}}","V1.4.58.8","16000.0.799.94","2023-03-21T10:38:21.5743903+01:00","1","Error","PRC.Symptom{E{FLOW_LOW}}",,,"70001003"
"0","7e5538ef-23b6-4014-992d-6dcde15c80ba","RW","2023-03-21T14:17:32.5393004+01:00","SERVICE","TENSION_CONTROL_FAILURE","{convergetimeout={""unit"":""Millisecond"",""value"":""0""}, tensionvalue={""unit"":""Newton"",""value"":""81.2347""}, plctime=2023-03-21T14:17:33.464+01:00}","V1.4.58.8","16000.0.799.94","2023-03-21T10:38:21.5743903+01:00","1","Error","PRC.Symptom{E{TENSION_CONTROL_FAILURE}}",,,"70001003"
"0","a097f887-3fa7-4d2b-9949-5ecd869a5767","ILP","2023-03-21T14:23:17.4369236-05:00","OFF","ILP_MILLING_TIMEOUT","{plctime=2023-03-21T14:29:45.781-05:00}","V1.4.58.6","16000.0.799.69","2023-03-21T13:33:18.3331359-05:00","1","Error","PRC.Symptom{E{ILP_MILLING_TIMEOUT}}",,,"70001004"
"0","40b0b16b-0dd5-4c43-98fd-8281f8fd75bb","CWS","2023-03-21T14:27:56.5679029-04:00","MECH_INIT","CWS_PRESSURE_HIGH","{maxlimit={""unit"":""Millibar"",""value"":""4000""}, actualpressure={""unit"":""Millibar"",""value"":""5744.148""}, plctime=2023-03-21T14:30:13.041-04:00, sensor={""unit"":""NoUnits"",""value"":""CWS_OUTLET_PRSR""}}","V1.4.58.6","16000.0.799.69","2023-03-21T12:20:43.3199388-04:00","1","Error","PRC.Symptom{E{CWS_PRESSURE_HIGH}}",,,"70001002"
"0","8b79b09d-a76f-4c53-8cd5-4ed1e1cb76ed","CWS","2023-03-21T14:30:37.0402079-04:00","GET_READY","CWS_PRESSURE_HIGH","{maxlimit={""unit"":""Millibar"",""value"":""4000""}, actualpressure={""unit"":""Millibar"",""value"":""5750.191""}, plctime=2023-03-21T14:32:53.543-04:00, sensor={""unit"":""NoUnits"",""value"":""CWS_OUTLET_PRSR""}}","V1.4.58.6","16000.0.799.69","2023-03-21T12:20:43.3199388-04:00","1","Error","PRC.Symptom{E{CWS_PRESSURE_HIGH}}",,,"70001002"
"0","0e60fc66-9f80-4392-a1ae-4ca0d94e07f1","CWS","2023-03-21T14:31:34.5205012-04:00","GET_READY","CWS_WATER_TEMP_HIGH","{maxlimit={""unit"":""Celsius"",""value"":""9""}, actualtemperature={""unit"":""Celsius"",""value"":""9.3""}, plctime=2023-03-21T14:33:51.144-04:00, sensor={""unit"":""NoUnits"",""value"":""CWS_INLET_TEMP_SENSOR""}}","V1.4.58.6","16000.0.799.69","2023-03-21T12:20:43.3199388-04:00","1","Error","PRC.Symptom{E{CWS_WATER_TEMP_HIGH}}",,,"70001002"
"0","fbfe2daa-ed25-42d7-9f8a-d395c812100c","SPM","2023-03-21T14:31:39.0221828-05:00","OFF","SPM_DEVICE_LOST_COMMUNICATION","{plctime=2023-03-21T14:38:07.307-05:00}","V1.4.58.6","16000.0.799.69","2023-03-21T13:33:18.3331359-05:00","1","Error","PRC.Symptom{E{SPM_DEVICE_LOST_COMMUNICATION}}",,,"70001004"
"0","95aca514-6ac5-46ce-bbba-82be79852857","CWS","2023-03-21T14:32:24.0161802-04:00","GET_READY","CWS_WATER_TEMP_HIGH","{maxlimit={""unit"":""Celsius"",""value"":""9""}, actualtemperature={""unit"":""Celsius"",""value"":""9.8550005""}, plctime=2023-03-21T14:34:40.547-04:00, sensor={""unit"":""NoUnits"",""value"":""CWS_INLET_TEMP_SENSOR""}}","V1.4.58.6","16000.0.799.69","2023-03-21T12:20:43.3199388-04:00","1","Error","PRC.Symptom{E{CWS_WATER_TEMP_HIGH}}",,,"70001002"
