pressSN,endTime,time,plcTime,machineState,pressState,date
70001002,,08:38:44,2023-03-23T08:41:08.399-04:00,PRE_PRINT,Print,23/03/2023
70001002,,08:39:29,2023-03-23T08:41:52.975-04:00,PRINT,Print,23/03/2023
70001002,,08:44:12,2023-03-23T08:46:36.208-04:00,POST_PRINT,Print,23/03/2023
70001002,,08:44:29,2023-03-23T08:46:52.824-04:00,DYNAMIC_READY,Ready,23/03/2023
70001002,,08:44:44,2023-03-23T08:47:07.424-04:00,PRE_PRINT,Print,23/03/2023
70001002,,08:45:38,2023-03-23T08:48:01.616-04:00,PRINT,Print,23/03/2023
70001002,,08:45:56,2023-03-23T08:48:20.111-04:00,POST_PRINT,Print,23/03/2023
70001002,,08:46:13,2023-03-23T08:48:36.712-04:00,DYNAMIC_READY,Ready,23/03/2023
70001002,,08:56:42,2023-03-23T08:59:05.665-04:00,READY,Ready,23/03/2023
70001002,,09:03:10,2023-03-23T09:05:34.01-04:00,PRE_PRINT,Print,23/03/2023
70001002,,09:04:38,2023-03-23T09:07:01.61-04:00,PRINT,Print,23/03/2023
70001002,,09:05:31,2023-03-23T09:07:55.41-04:00,POST_PRINT,Print,23/03/2023
70001002,,09:05:49,2023-03-23T09:08:12.699-04:00,DYNAMIC_READY,Ready,23/03/2023
70001002,,09:06:17,2023-03-23T09:08:40.946-04:00,READY,Ready,23/03/2023
70001002,,09:54:20,2023-03-23T09:56:44.145-04:00,GO_TO_STANDBY,Standby,23/03/2023
70001002,,09:54:26,2023-03-23T09:56:50.337-04:00,STANDBY,Standby,23/03/2023
70001002,,09:54:58,2023-03-23T09:57:22.194-04:00,GET_READY,GetReady,23/03/2023
70001002,,10:00:39,2023-03-23T10:03:03.243-04:00,DYNAMIC_READY,Ready,23/03/2023
70001002,,10:02:05,2023-03-23T10:04:29.371-04:00,GO_TO_STANDBY,Standby,23/03/2023
70001002,,10:02:12,2023-03-23T10:04:35.571-04:00,STANDBY,Standby,23/03/2023
70001002,,10:05:11,2023-03-23T10:07:34.371-04:00,GO_TO_OFF,Off,23/03/2023
70001002,,10:05:20,2023-03-23T10:07:43.803-04:00,OFF,Off,23/03/2023
70001002,,10:05:34,2023-03-23T10:07:57.716-04:00,GO_TO_SERVICE,Service,23/03/2023
70001002,,10:05:34,2023-03-23T10:07:57.82-04:00,SERVICE,Service,23/03/2023
