"pressSN","endTime","time","plcTime","machineState","pressState"
"70001002",,"2023-03-30T06:41:31.0321074-04:00","2023-03-30T06:44:17.294-04:00","POWER_DISABLE","Off"
"70001002",,"2023-03-30T06:42:59.4053285-04:00","2023-03-30T06:45:46.51-04:00","OFF","Off"
"70001002",,"2023-03-30T06:48:40.0519534-04:00","2023-03-30T06:51:26.387-04:00","POWER_DISABLE","Off"
"70001002",,"2023-03-30T06:56:08.673316-04:00","2023-03-30T06:58:54.559-04:00","POWER_DISABLE","Off"
"70001002",,"2023-03-30T07:03:32.3885138-04:00","2023-03-30T07:06:18.766-04:00","POWER_DISABLE","Off"
"70001002",,"2023-03-30T07:21:58.874443-04:00","2023-03-30T07:24:46.996-04:00","POWER_DISABLE","Off"
"70001002",,"2023-03-30T07:33:30.0147447-04:00","2023-03-30T07:36:18.089-04:00","POWER_DISABLE","Off"
"70001002",,"2023-03-30T07:48:29.4084354-04:00","2023-03-30T07:51:16.546-04:00","POWER_DISABLE","Off"
"70001002",,"2023-03-30T07:49:34.8151515-04:00","2023-03-30T07:52:23.529-04:00","OFF","Off"
"70001002",,"2023-03-30T07:49:40.2509695-04:00","2023-03-30T07:52:28.833-04:00","POWER_DISABLE","Off"
"70001002",,"2023-03-30T07:50:09.6480037-04:00","2023-03-30T07:52:58.305-04:00","OFF","Off"
"70001002",,"2023-03-30T07:50:23.1903611-04:00","2023-03-30T07:53:11.802-04:00","GO_TO_OFF","Off"
"70001002",,"2023-03-30T07:50:24.3680461-04:00","2023-03-30T07:53:12.97-04:00","OFF","Off"
"70001002",,"2023-03-30T08:01:31.9842706-04:00","2023-03-30T08:04:20.557-04:00","OFF","Off"
"70001002",,"2023-03-30T08:03:54.2163499-04:00","2023-03-30T08:06:42.75-04:00","GO_TO_SERVICE","Service"
"70001002",,"2023-03-30T08:03:54.2173891-04:00","2023-03-30T08:06:42.814-04:00","GO_TO_OFF","Off"
"70001002",,"2023-03-30T08:03:55.3795142-04:00","2023-03-30T08:06:43.981-04:00","OFF","Off"
"70001002",,"2023-03-30T08:04:01.4303741-04:00","2023-03-30T08:06:50.109-04:00","GO_TO_SERVICE","Service"
"70001002",,"2023-03-30T08:04:01.6510023-04:00","2023-03-30T08:06:50.301-04:00","GO_TO_OFF","Off"
"70001002",,"2023-03-30T08:04:02.8410446-04:00","2023-03-30T08:06:51.47-04:00","OFF","Off"
"70001002",,"2023-03-30T08:12:54.8634148-04:00","2023-03-30T08:15:42.496-04:00","POWER_DISABLE","Off"
"70001002",,"2023-03-30T08:13:17.1884341-04:00","2023-03-30T08:16:06.008-04:00","OFF","Off"
"70001002",,"2023-03-30T08:19:04.0131887-04:00","2023-03-30T08:21:53.018-04:00","MECH_INIT","Off"
"70001002",,"2023-03-30T08:20:12.0943623-04:00","2023-03-30T08:23:00.93-04:00","STANDBY","Standby"
"70001002",,"2023-03-30T08:21:50.9988761-04:00","2023-03-30T08:24:39.971-04:00","GET_READY","GetReady"
"70001002",,"2023-03-30T08:37:24.8990795-04:00","2023-03-30T08:40:13.752-04:00","DYNAMIC_READY","Ready"
"70001002",,"2023-03-30T08:39:44.0894812-04:00","2023-03-30T08:42:33.033-04:00","PRE_PRINT","Print"
"70001002",,"2023-03-30T08:40:09.2689539-04:00","2023-03-30T08:42:58.249-04:00","PRINT","Print"
"70001002",,"2023-03-30T08:40:50.3780651-04:00","2023-03-30T08:43:39.225-04:00","POST_PRINT","Print"
"70001002",,"2023-03-30T08:41:06.4925049-04:00","2023-03-30T08:43:55.417-04:00","DYNAMIC_READY","Ready"
"70001002",,"2023-03-30T08:43:51.6614618-04:00","2023-03-30T08:46:40.626-04:00","PRE_PRINT","Print"
"70001002",,"2023-03-30T08:45:01.7615938-04:00","2023-03-30T08:47:50.642-04:00","PRINT","Print"
"70001002",,"2023-03-30T08:48:48.358674-04:00","2023-03-30T08:51:37.332-04:00","POST_PRINT","Print"
"70001002",,"2023-03-30T08:49:05.0857392-04:00","2023-03-30T08:51:53.931-04:00","DYNAMIC_READY","Ready"
"70001002",,"2023-03-30T08:59:33.9693004-04:00","2023-03-30T09:02:22.967-04:00","READY","Ready"
"70001002",,"2023-03-30T09:01:23.1673775-04:00","2023-03-30T09:04:11.975-04:00","PRE_PRINT","Print"
"70001002",,"2023-03-30T09:02:55.6069826-04:00","2023-03-30T09:05:44.479-04:00","PRINT","Print"
"70001002",,"2023-03-30T09:08:54.5931818-04:00","2023-03-30T09:11:43.433-04:00","POST_PRINT","Print"
"70001002",,"2023-03-30T09:09:11.307216-04:00","2023-03-30T09:12:00.033-04:00","DYNAMIC_READY","Ready"
"70001002",,"2023-03-30T09:15:21.5671768-04:00","2023-03-30T09:18:10.434-04:00","PRE_PRINT","Print"
"70001002",,"2023-03-30T09:16:11.9190518-04:00","2023-03-30T09:19:00.923-04:00","PRINT","Print"
"70001002",,"2023-03-30T09:16:34.2700371-04:00","2023-03-30T09:19:23.139-04:00","POST_PRINT","Print"
"70001002",,"2023-03-30T09:16:50.7995563-04:00","2023-03-30T09:19:39.731-04:00","DYNAMIC_READY","Ready"
"70001002",,"2023-03-30T09:17:27.8670288-04:00","2023-03-30T09:20:16.683-04:00","PRE_PRINT","Print"
"70001002",,"2023-03-30T09:18:15.0008747-04:00","2023-03-30T09:21:03.819-04:00","PRINT","Print"
"70001002",,"2023-03-30T09:18:16.0112071-04:00","2023-03-30T09:21:04.835-04:00","POST_PRINT","Print"
"70001002",,"2023-03-30T09:18:41.3922836-04:00","2023-03-30T09:21:30.243-04:00","DYNAMIC_READY","Ready"
"70001002",,"2023-03-30T09:19:34.9822758-04:00","2023-03-30T09:22:23.932-04:00","PRE_PRINT","Print"
"70001002",,"2023-03-30T09:20:20.4920325-04:00","2023-03-30T09:23:09.42-04:00","PRINT","Print"
"70001002",,"2023-03-30T09:20:41.8510029-04:00","2023-03-30T09:23:30.636-04:00","POST_PRINT","Print"
"70001002",,"2023-03-30T09:20:58.3636082-04:00","2023-03-30T09:23:47.22-04:00","DYNAMIC_READY","Ready"
"70001002",,"2023-03-30T09:31:27.2780056-04:00","2023-03-30T09:34:16.047-04:00","READY","Ready"
"70001002",,"2023-03-30T09:33:42.4509233-04:00","2023-03-30T09:36:31.391-04:00","GO_TO_STANDBY","Standby"
"70001002",,"2023-03-30T09:33:48.696235-04:00","2023-03-30T09:36:37.591-04:00","STANDBY","Standby"
"70001002",,"2023-03-30T09:41:19.526514-04:00","2023-03-30T09:44:08.377-04:00","GO_TO_OFF","Off"
"70001002",,"2023-03-30T09:41:28.9677954-04:00","2023-03-30T09:44:17.809-04:00","OFF","Off"
"70001002",,"2023-03-30T09:42:34.0242837-04:00","2023-03-30T09:45:22.825-04:00","MECH_INIT","Off"
"70001002",,"2023-03-30T09:43:25.8049344-04:00","2023-03-30T09:46:14.737-04:00","STANDBY","Standby"
"70001002",,"2023-03-30T09:55:22.3121703-04:00","2023-03-30T09:58:11.141-04:00","GET_READY","GetReady"
"70001002",,"2023-03-30T09:58:44.9120339-04:00","2023-03-30T10:01:33.781-04:00","DYNAMIC_READY","Ready"
"70001002",,"2023-03-30T10:09:14.2496052-04:00","2023-03-30T10:12:03.112-04:00","READY","Ready"
"70001002",,"2023-03-30T10:27:26.8253934-04:00","2023-03-30T10:30:15.717-04:00","GO_TO_STANDBY","Standby"
"70001002",,"2023-03-30T10:27:33.0664069-04:00","2023-03-30T10:30:21.909-04:00","STANDBY","Standby"
"70001002",,"2023-03-30T10:27:41.732725-04:00","2023-03-30T10:30:30.661-04:00","GO_TO_OFF","Off"
"70001002",,"2023-03-30T10:27:51.1985106-04:00","2023-03-30T10:30:40.093-04:00","OFF","Off"
"70001002",,"2023-03-30T10:28:02.3296195-04:00","2023-03-30T10:30:51.053-04:00","GO_TO_SERVICE","Service"
"70001002",,"2023-03-30T10:28:02.3303839-04:00","2023-03-30T10:30:51.157-04:00","SERVICE","Service"
"70001002",,"2023-03-30T10:46:32.4378473-04:00","2023-03-30T10:49:21.17-04:00","OFF","Off"
"70001002",,"2023-03-30T10:46:41.8483969-04:00","2023-03-30T10:49:30.626-04:00","MECH_INIT","Off"
"70001002",,"2023-03-30T10:47:01.5903204-04:00","2023-03-30T10:49:50.346-04:00","GO_TO_OFF","Off"
"70001002",,"2023-03-30T10:47:08.8434591-04:00","2023-03-30T10:49:57.634-04:00","OFF","Off"
"70001002",,"2023-03-30T10:49:56.6664555-04:00","2023-03-30T10:52:45.555-04:00","MECH_INIT","Off"
"70001002",,"2023-03-30T10:51:03.5535644-04:00","2023-03-30T10:53:52.436-04:00","STANDBY","Standby"
"70001002",,"2023-03-30T11:01:32.8854127-04:00","2023-03-30T11:04:21.735-04:00","GET_READY","GetReady"
"70001002",,"2023-03-30T11:07:22.842457-04:00","2023-03-30T11:10:11.592-04:00","DYNAMIC_READY","Ready"
"70001002",,"2023-03-30T11:08:26.682672-04:00","2023-03-30T11:11:15.6-04:00","PRE_PRINT","Print"
"70001002",,"2023-03-30T11:09:37.1879523-04:00","2023-03-30T11:12:26.073-04:00","PRINT","Print"
"70001002",,"2023-03-30T11:13:51.8108694-04:00","2023-03-30T11:16:40.666-04:00","POST_PRINT","Print"
"70001002",,"2023-03-30T11:14:08.3302723-04:00","2023-03-30T11:16:57.282-04:00","DYNAMIC_READY","Ready"
"70001002",,"2023-03-30T11:14:19.8213087-04:00","2023-03-30T11:17:08.626-04:00","PRE_PRINT","Print"
"70001002",,"2023-03-30T11:15:04.1459091-04:00","2023-03-30T11:17:52.914-04:00","PRINT","Print"
"70001002",,"2023-03-30T11:15:24.2912079-04:00","2023-03-30T11:18:13.17-04:00","POST_PRINT","Print"
"70001002",,"2023-03-30T11:15:40.8109113-04:00","2023-03-30T11:18:29.778-04:00","DYNAMIC_READY","Ready"
