pressSN,endTime,time,plcTime,machineState,pressState
70001004,,2023-03-20T09:08:40.9712175-05:00,2023-03-20T09:15:05.283-05:00,READY,Ready
70001004,,2023-03-20T09:09:30.9463357-05:00,2023-03-20T09:15:55.354-05:00,PRE_PRINT,Print
70001004,,2023-03-20T09:09:32.1489786-05:00,2023-03-20T09:15:56.522-05:00,POST_PRINT,Print
70001004,,2023-03-20T09:10:05.184428-05:00,2023-03-20T09:16:29.585-05:00,READY,Ready
70001004,,2023-03-20T09:11:07.5137007-05:00,2023-03-20T09:17:31.944-05:00,PRE_PRINT,Print
70001003,,2023-03-20T09:12:38.5862398+01:00,2023-03-20T09:12:36.107+01:00,POWER_DISABLE,Off
70001004,,2023-03-20T09:12:45.8425531-05:00,2023-03-20T09:19:10.142-05:00,PRINT,Print
70001004,,2023-03-20T09:17:30.3224048-05:00,2023-03-20T09:23:54.697-05:00,POST_PRINT,Print
70001004,,2023-03-20T09:18:00.7496735-05:00,2023-03-20T09:24:25-05:00,READY,Ready
70001002,,2023-03-20T09:20:57.9567261-04:00,2023-03-20T09:23:10.069-04:00,POWER_DISABLE,Off
70001003,,2023-03-20T09:31:47.3806885+01:00,2023-03-20T09:31:46.225+01:00,OFF,Off
70001003,,2023-03-20T09:32:32.0785786+01:00,2023-03-20T09:32:31.088+01:00,GO_TO_SERVICE,Service
70001003,,2023-03-20T09:32:32.3381702+01:00,2023-03-20T09:32:31.192+01:00,SERVICE,Service
70001003,,2023-03-20T09:36:44.9432468+01:00,2023-03-20T09:36:43.789+01:00,OFF,Off
70001003,,2023-03-20T09:36:56.7745414+01:00,2023-03-20T09:36:55.708+01:00,MECH_INIT,Off
70001003,,2023-03-20T09:37:13.2597178+01:00,2023-03-20T09:37:12.228+01:00,GO_TO_OFF,Off
70001003,,2023-03-20T09:37:20.5076324+01:00,2023-03-20T09:37:19.443+01:00,OFF,Off
70001003,,2023-03-20T09:38:33.4015091+01:00,2023-03-20T09:38:32.403+01:00,MECH_INIT,Off
