"pressSN","endTime","time","plcTime","machineState","pressState"
"70001004",,"2023-04-26T06:11:58.7343708-05:00","2023-04-26T06:20:10.264-05:00","POWER_DISABLE","Off"
"70001004",,"2023-04-26T06:12:20.6700237-05:00","2023-04-26T06:20:33.76-05:00","OFF","Off"
"70001004",,"2023-04-26T06:13:19.2582056-05:00","2023-04-26T06:21:32.358-05:00","GO_TO_SERVICE","Service"
"70001004",,"2023-04-26T06:13:19.5089221-05:00","2023-04-26T06:21:32.454-05:00","SERVICE","Service"
"70001004",,"2023-04-26T06:18:20.3510681-05:00","2023-04-26T06:26:33.25-05:00","OFF","Off"
"70001004",,"2023-04-26T06:18:38.8770389-05:00","2023-04-26T06:26:51.857-05:00","GO_TO_SERVICE","Service"
"70001004",,"2023-04-26T06:18:39.0714021-05:00","2023-04-26T06:26:51.945-05:00","SERVICE","Service"
"70001004",,"2023-04-26T06:20:55.4015285-05:00","2023-04-26T06:29:08.343-05:00","OFF","Off"
"70001004",,"2023-04-26T06:21:32.3848761-05:00","2023-04-26T06:29:45.294-05:00","MECH_INIT","Off"
"70001004",,"2023-04-26T06:23:49.1335519-05:00","2023-04-26T06:32:02.028-05:00","GO_TO_OFF","Off"
"70001004",,"2023-04-26T06:23:56.3732769-05:00","2023-04-26T06:32:09.317-05:00","OFF","Off"
"70001004",,"2023-04-26T06:24:28.9842373-05:00","2023-04-26T06:32:41.915-05:00","MECH_INIT","Off"
"70001004",,"2023-04-26T06:26:36.6339921-05:00","2023-04-26T06:34:49.642-05:00","GO_TO_OFF","Off"
"70001004",,"2023-04-26T06:26:43.8800575-05:00","2023-04-26T06:34:56.929-05:00","OFF","Off"
"70001004",,"2023-04-26T06:28:23.7662103-05:00","2023-04-26T06:36:36.792-05:00","MECH_INIT","Off"
"70001004",,"2023-04-26T06:30:31.425859-05:00","2023-04-26T06:38:44.518-05:00","GO_TO_OFF","Off"
"70001004",,"2023-04-26T06:30:38.8776259-05:00","2023-04-26T06:38:51.806-05:00","OFF","Off"
"70001004",,"2023-04-26T06:52:49.5857598-05:00","2023-04-26T07:01:02.536-05:00","MECH_INIT","Off"
"70001004",,"2023-04-26T06:54:57.2572995-05:00","2023-04-26T07:03:10.27-05:00","GO_TO_OFF","Off"
"70001004",,"2023-04-26T06:55:04.499755-05:00","2023-04-26T07:03:17.558-05:00","OFF","Off"
"70001004",,"2023-04-26T07:15:31.334428-05:00","2023-04-26T07:23:44.299-05:00","MECH_INIT","Off"
"70001004",,"2023-04-26T07:17:39.1885078-05:00","2023-04-26T07:25:52.009-05:00","GO_TO_OFF","Off"
"70001004",,"2023-04-26T07:17:46.4381413-05:00","2023-04-26T07:25:59.297-05:00","OFF","Off"
"70001004",,"2023-04-26T07:40:30.911266-05:00","2023-04-26T07:48:43.955-05:00","MECH_INIT","Off"
"70001004",,"2023-04-26T07:40:46.4246888-05:00","2023-04-26T07:48:59.315-05:00","GO_TO_OFF","Off"
"70001004",,"2023-04-26T07:40:53.4606124-05:00","2023-04-26T07:49:06.53-05:00","OFF","Off"
"70001004",,"2023-04-26T07:40:58.3791879-05:00","2023-04-26T07:49:11.178-05:00","GO_TO_SERVICE","Service"
"70001004",,"2023-04-26T07:40:58.380154-05:00","2023-04-26T07:49:11.266-05:00","SERVICE","Service"
"70001004",,"2023-04-26T07:44:36.6686653-05:00","2023-04-26T07:52:49.463-05:00","OFF","Off"
"70001004",,"2023-04-26T07:45:43.2468787-05:00","2023-04-26T07:53:56.142-05:00","MECH_INIT","Off"
